ts,P>1_mean,P>1_max,P>5_mean,P>5_max,P>10_mean,P>10_max,P>30_mean,P>30_max,P>50_mean,P>50_max,P>100_mean,P>100_max,E>0.8_mean,E>0.8_max,E>2.0_mean,E>2.0_max,speed,density,F10.7,група
2017-08-31 02:00:00,4.653333333333333,7.93,0.23591666666666666,0.388,0.17716666666666667,0.243,0.10890833333333333,0.185,0.08798333333333334,0.174,0.04629166666666667,0.0892,4360.833333333333,5380.0,47.300000000000004,61.2,360.0,8.0,92.0,тиха
2017-08-31 03:00:00,3.265,5.36,0.27808333333333335,0.68,0.18791666666666665,0.36,0.090825,0.154,0.07284166666666667,0.142,0.036333333333333336,0.0668,3311.6666666666665,3980.0,29.799999999999997,41.8,355.0,11.8,92.0,тиха
2017-08-31 04:00:00,2.2333333333333334,3.24,0.27941666666666665,0.502,0.18633333333333335,0.367,0.08789999999999999,0.141,0.07498333333333333,0.13,0.04319166666666666,0.0787,2234.1666666666665,2650.0,15.233333333333334,20.7,361.0,12.5,92.0,тиха
2017-08-31 05:00:00,1.4894166666666668,3.22,0.24758333333333335,0.357,0.16958333333333334,0.316,0.08450833333333334,0.172,0.07116666666666667,0.158,0.0339,0.065,1071.0833333333333,1750.0,6.955000000000001,15.1,407.0,31.7,92.0,тиха
2017-08-31 06:00:00,4.060833333333333,6.5,0.25166666666666665,0.414,0.17700000000000002,0.254,0.09074166666666666,0.142,0.073525,0.116,0.03924166666666667,0.0652,332.5,407.0,2.87625,5.58,467.0,24.2,92.0,тиха
2017-08-31 07:00:00,1.7113333333333334,3.54,0.24116666666666667,0.359,0.15466666666666665,0.21,0.08313333333333334,0.133,0.062425,0.0934,0.03291666666666667,0.0605,475.0,1070.0,7.452500000000001,12.8,588.0,7.1,92.0,тиха
2017-08-31 08:00:00,5.203166666666667,22.4,0.289,0.414,0.19499999999999998,0.316,0.08105,0.135,0.064,0.114,0.0336,0.058,914.4933333333333,3830.0,18.6275,64.9,608.0,5.2,92.0,тиха
2017-08-31 09:00:00,47.75833333333333,161.0,0.2658333333333333,0.673,0.18958333333333333,0.297,0.10395833333333333,0.219,0.08440833333333332,0.208,0.04430833333333334,0.108,7764.166666666667,15500.0,255.91666666666666,701.0,626.0,4.5,92.0,тиха
2017-08-31 10:00:00,6.947500000000001,13.6,0.25016666666666665,0.381,0.1935,0.343,0.10039166666666666,0.198,0.08225833333333334,0.177,0.04355,0.0853,3030.8333333333335,5720.0,42.2925,92.7,649.0,4.4,92.0,тиха
2017-08-31 11:00:00,0.91725,1.73,0.20958333333333334,0.351,0.16316666666666665,0.313,0.09096666666666665,0.141,0.0687,0.106,0.0376,0.058,367.195,863.0,4.482166666666666,11.7,654.0,4.0,92.0,тиха
2017-08-31 12:00:00,9.484416666666666,20.7,0.25833333333333336,0.528,0.18533333333333335,0.356,0.08313333333333334,0.143,0.061941666666666666,0.101,0.03069166666666667,0.0632,372.72499999999997,933.0,8.7125,19.7,633.0,3.4,92.0,тиха
2017-08-31 13:00:00,51.03333333333333,105.0,0.23641666666666664,0.451,0.1645,0.264,0.08795833333333335,0.198,0.07151666666666666,0.163,0.03825,0.0631,1807.0833333333333,3700.0,24.683333333333334,35.5,609.0,3.3,92.0,тиха
2017-08-31 14:00:00,62.25416666666666,231.0,0.26991666666666664,0.597,0.19666666666666666,0.322,0.08608333333333333,0.113,0.070975,0.0966,0.04351666666666667,0.0704,4909.166666666667,5770.0,28.983333333333334,35.5,602.0,3.2,92.0,тиха
2017-08-31 15:00:00,10.489166666666668,18.5,0.22316666666666665,0.427,0.16283333333333333,0.259,0.10158333333333334,0.201,0.08168333333333334,0.19,0.04106666666666667,0.0842,6577.5,8780.0,32.233333333333334,46.8,600.0,3.4,92.0,тиха
